tcp,estc,playfile,Wiggins number,author,author 2,author 3,author 4,author 5,translator,in 704 corpus,in 554 corpus,missing from both,title,alternative title,genre,Wiggins genre,DEEP genre,Wiggins contemporary genre,date of writing,date of 1st performance,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes
A72573,S109452,,233,"Lindsay, David",,,,,,no,no,yes,1 & 2 A Satire of the Three Estates,,,,Political-Religious Moral,,1540,1540,1602,,,,,,,
not in tcp?,S107552,,,"Carlell, Lodowick",,,,,,no,no,yes,1 & 2 Arviragus and Philicia,,,,TC,,1635,1636,1639,,King's Men,,,,,
A07394,S111265,,,"Medwall, Henry",,,,,,no,no,yes,1 & 2 Fulgens and Lucrece,,,,Romantic IN,,1497,1497,[1512-16?],,,,,,,
A10440,S104483,A10440,,"Rastell, John (?)",,,,,,yes,no,no,1 & 2 Gentleness and Nobility,,IN,,DI,,1527,1527,1525,1525,,,,,,
A07395,S122113,A07395,,"Medwall, Henry",,,,,,yes,no,no,1 & 2 Nature,,IN,,Moral IN,,1496,1496,1530-34,1530-34,,,,,,
A15045,S111725,A15045,615-616,"Whetstone, George",,,,,,yes,yes,no,1 & 2 Promos and Cassandra,Printed: The History of Promos and Cassandra + The Second Part of the History of Promos and Cassandra,CO,CO,n/a,CO; 'famous history'; comical discourse,1577,,1578,1578,,,,mixed,mixed,
A34267,R7439,A34267,,"Carlell, Lodowick",,,,,,yes,yes,no,1 & 2 The Passionate Lovers,,TC,,n/a,,1655,,1655,1655,King's Men,,,,,
A53060,R17289,A53060_14,,"Cavendish, Margaret",,,,,,yes,no,no,"1 Beauty, Love, and Wit",,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_18,,"Cavendish, Margaret",,,,,,yes,no,no,1 Bell in Campo,,ND,,,,1662,,1662,1662,,,,,,
A47372,R7715,A47372_08,,"Killigrew, Thomas",,,,,,yes,yes,no,1 Bellamira Her Dream,1 The Love of Shadows,TC,,,,1652,,1664,1664,,,,,,
A47372,R7715,A47372_04,,"Killigrew, Thomas",,,,,,yes,yes,no,1 Cicilia and Clorinda,1 Love in Arms,TC,,,,1650,,1664,1664,,,,,,
A74789,R13857,A74789,,Mercurius Melancholicus(?),,,,,,yes,yes,no,1 Crafty Cromwell,"1 Crafty Cromwell, or Oliver Ordering Our New State",TC,,Political Dialogue,,1648,1648,1648,1648,,,,,,
A03224,S106204,A03224_01,1195-6,"Heywood, Thomas",,,,,,yes,yes,no,1 Edward the Fourth,"Printed: The First Part of King Edward IV / Contemporary: Jane Shore / Later assigned: Edward IV, Part 1; The King of England and the Goldsmith's Wife",HI,HI,HI,,1599,1599,1599,1600,Derby's (Strange's) Men,,possibly the Boar's Head,pentameter and prose,blank verse and couplets,
A11954,S111228,A11954_17,1059,"Shakespeare, William",,,,,,yes,yes,no,1 Henry IV,"Printed: The History of Henry IV / Contemporary: Sir John Oldcastle; Oldcastle; The First Part of Sir John Falstaff; The Hotspur; The Life and Death of King Henry IV; The First Part of Henry IV, with the Life and Death of Henry, Surnamed Hotspur; The Life of King Henry IV",HI,HI,HI,TR; HI,1597,1597,1598,1623,Lord Chamberlain's (Hunsdon's) Men,,the Theatre,pentameter and prose,no,
A11954,S111228,A11954_20,,"Shakespeare, William","Nashe, Thomas",,,,,yes,yes,no,1 Henry VI,,HI,,HI,,1592,1592,1623,1623,Derby's (Strange's) Men,,,,,
A03208,S106109,A03208,,"Heywood, Thomas",,,,,,yes,yes,no,1 If You Know Not Me You Know Nobody,,HI,,HI,,1604,1604,1605,1605,Queen Anne's Men,,,,,
A04941,S109285,A04941,,Anonymous,,,,,,yes,yes,no,"1 Jeronimo, with the Wars of Portugal",,HI,,Pseudo-History,,1604,1604,1605,1605,King's Men,,,,,
A53060,R17289,A53060_01,,"Cavendish, Margaret",,,,,,yes,no,no,1 Love's Adventures,,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_12,,"Cavendish, Margaret",,,,,,yes,yes,no,1 Matrimonial Trouble,,CO,,,,1662,,1662,1662,,,,,,
A63042,R219725,A63042,,Anonymous,,,,,,yes,yes,no,1 Newmarket Fair,"1 Newmarket Fair, or A Parliament Outcry of State Commodities, Set to Sale",TC,,Political Dialogue,,1649,1649,1649,1649,,,,,,
A12151,S117360,A12151,,"Shirley, James",,,,,,yes,yes,no,1 Saint Patrick for Ireland,,CO,,Neo-miracle,,1639,1639,1640,1640,Ogilby's Men; Queen Henrietta Maria's Men,,,,,
A68114,S103417,A68114,,"Greene, Robert",,,,,,yes,yes,no,1 Selimus,,TR,,Heroical Romance,,1591,1592,1594,1594,Queen Elizabeth's Men,,,,,
A81966,R202045,,,"Davenant, William",,,,,,no,no,yes,1 Sir Francis Drake,,,,Pseudo-HI,,1658,1658,1659,,Davenant's Opera Company,,,,,
A08469,S106323,A08469,1211,"Munday, Anthony","Drayton, Michael","Wilson, Robert","Hathaway, Richard",,,yes,yes,no,1 Sir John Oldcastle,"Performed: Sir John Oldcastle / Printed: The First Part of...the Life of Sir John Oldcastle, the Good Lord Cobham / Contemporary: The Life of Sir John Oldcastle; Oldcastle",HI,HI,HI,,1599,1599,1600,1600,Admiral's (Nottingham's) Men,,the Rose,pentameter and prose,no,
A07004,S122101,A07004_01,784,"Marlowe, Christopher",,,,,,yes,yes,no,1 Tamburlaine,Performed: Tamburlaine / Printed: Tamburlaine the Great / Contemporary: The First Part of Tamburlaine; Tamburlaine the Scythian Shepherd; Mighty Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; The Tragical Conquests of Tamburlaine the Scythian Shepherd,TR,TR,Heroical Romance,comical discourse; tragical discourse; poem,1587,1587,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,
A37284,R6497,A37284,,"Chettle, Henry","Day, John",,,,,yes,yes,no,1 The Blind Beggar of Bednal Green,1 Tom Strowd,CO,,CO,,1600,1600,1659,1659,Admiral's (Nottingham's) Men,Prince Charles's Men (second),,,,
A19346,S108694,A19346,,"Corneille, Pierre",,,,,"Rutter, Joseph",yes,yes,no,1 The Cid,The Valiant Cid,TC,,TC,,1637,1637,1637,1637,Beeston's Boys,,,,,
A93092,R201697,,,"Sheppard, Samuel",,,,,,no,no,yes,1 The Committee-Man Curried,,,,Political DI,,1647,1647,1647,,,,,,,
A03201,S104035,A03201_01,,"Heywood, Thomas",,,,,,yes,yes,no,1 The Fair Maid of the West,"1 The Fair Maid of the West, or A Girl Worth Gold",CO,,CO,,1597,1604,1631,1631,Queen Anne's Men,Queen Henrietta Maria's Men,,,,
A20062,S105233,A20062,,"Dekker, Thomas","Middleton, Thomas",,,,,yes,yes,no,1 The Honest Whore,1 The Converted Courtesan,CO,,CO,,1604,1604,1604,1604,Prince Henry's Men,,,,,
A03223,S104049,A03223_01,,"Heywood, Thomas",,,,,,yes,yes,no,1 The Iron Age,,TC,,Classical Legend,,1612,1612,1632,1632,Queen Anne's Men,,,,,
A53060,R17289,A53060_06,,"Cavendish, Margaret",,,,,,yes,no,no,1 The Lady,,ND,,,,1662,,1662,1662,,,,,,
A86630,R7256,A86630_01,,"Howell, James",,,,,,yes,no,no,1 The Nuptials of Peleus and Thetis,The Great Royal Ball,MA,,Translation of French Royal EN,,1654,1654,1654,1654,,,,,,
A37187,R29700,,,"Davenant, William",,,,,,no,no,yes,1 The Siege of Rhodes,,,,TC,,1656,1656,1656,,Davenant's Opera Company,,,,,
A04520,S106395,A04520_01,,Anonymous,,,,,,yes,yes,no,1 The Troublesome Reign of King John,,HI,,HI,,1591,1591,1591,1611,Queen Elizabeth's Men,,,,,
A09857,S110459,A09857,1151,"Porter, Henry",,,,,,yes,yes,no,1 The Two Angry Women of Abingdon,Printed: The Two Angry Women of Abingdon / Alternative modernization: The Two Angry Women of Abington,CO,CO,CO,pleasant history'; 'pleasant comedy',1598,1598,1599,1599,Admiral's (Nottingham's) Men,,presumably the Rose,pentameter and prose,blank verse and couplets,
A47372,R7715,A47372_06,,"Killigrew, Thomas",,,,,,yes,yes,no,1 Thomaso,1 The Wanderer,CO,,,,1654,,1664,1664,,,,,,
A53060,R17289,A53060_08,,"Cavendish, Margaret",,,,,,yes,no,no,1 Wit's Cabal,,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_04,,"Cavendish, Margaret",,,,,,yes,no,no,1 Youth's Glory and Death's Banquet,,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_15,,"Cavendish, Margaret",,,,,,yes,no,no,"2 Beauty, Love, and Wit",,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_19,,"Cavendish, Margaret",,,,,,yes,no,no,2 Bell in Campo,,ND,,,,1662,,1662,1662,,,,,,
A47372,R7715,A47372_09,,"Killigrew, Thomas",,,,,,yes,yes,no,2 Bellamira Her Dream,2 The Love of Shadows,TC,,,,1652,,1664,1664,,,,,,
A47372,R7715,A47372_05,,"Killigrew, Thomas",,,,,,yes,yes,no,2 Cicilia and Clorinda,2 Love in Arms,TC,,,,1650,,1664,1664,,,,,,
A58987,R10370,A58987,,Mercurius Melancholicus(?),,,,,,yes,yes,no,2 Crafty Cromwell,"2 Crafty Cromwell, or Oliver in His Glory as King",TC,,Political Dialogue,,1648,1648,1648,1648,,,,,,
A03224,S106204,A03224_02,1195-6,"Heywood, Thomas",,,,,,yes,yes,no,2 Edward the Fourth,"Printed: The Second Part of King Edward IV / Contemporary: Jane Shore; Shore's Wife / Later assigned: Edward IV, Part 2",HI,HI,HI,,1599,1599,1599,1600,Derby's (Strange's) Men,,possibly the Boar's Head,pentameter and prose,no,
A11954,S111228,A11954_18,1083,"Shakespeare, William",,,,,,yes,yes,no,2 Henry IV,Printed: The Second Part of Henry IV / Contemporary: The Second Part of Falstaff; Sir John Falstaff; The Life and Death of King Henry IV; The Death of King Henry IV,HI,HI,HI,play (epilogue); history (F section),1597,1597,1600,1623,Lord Chamberlain's (Hunsdon's) Men,,presumably the Theatre or Curtain,pentameter and prose,no,
A11954,S111228,A11954_21,,"Shakespeare, William",,,,,,yes,yes,no,2 Henry VI,The First Part of the Contention of the Two Famous Houses of York and Lancaster,HI,,HI,,1591,1591,1594,1623,Pembroke's Men,,,,,
A03217,S106200,A03217,,"Heywood, Thomas",,,,,,yes,yes,no,2 If You Know Not Me You Know Nobody,,HI,,HI,,1605,1605,1606,1606,Queen Anne's Men,,,,,
A53060,R17289,A53060_02,,"Cavendish, Margaret",,,,,,yes,no,no,2 Love's Adventures,,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_13,,"Cavendish, Margaret",,,,,,yes,yes,no,2 Matrimonial Trouble,,TC,,,,1662,,1662,1662,,,,,,
A92826,R187425,A92826,,Man in the moon,,,,,,yes,yes,no,"2 Newmarket Fair, or Mistress Parliament's New Figaries","The second part of The tragi-comedy, called New-market-faire. Or Mrs. Parliaments new figaries. Written by the Man in the moon.",TC,,Political Dialogue,,1649,1649,1649,1649,,,,,,
A07004,S122101,A07004_02,789,"Marlowe, Christopher",,,,,,yes,yes,no,2 Tamburlaine,Performed: The Second Part of Tamburlaine / Printed: The Second Part of the Bloody Conquests of Mighty Tamburlaine / Contemporary: Tamburlaine the Scythian Shepherd; The Conquests of Tamburlaine the Scythian Shepherd; Tamburlaine the Great,TR,TR,Heroical Romance,comical discourse; tragical discourse; poem,1587,1587,1590,1590,Admiral's (Nottingham's) Men in London,,,yes,no,
A19347,S108695,A19347,,"Desfontaines, Nicolas-Marc",,,,,"Rutter, Joseph",yes,yes,no,2 The Cid,,TC,,TC,,1637,1638,1640,1640,,,,,,
A93099,R201807,A93099,,"Sheppard, Samuel",,,,,,yes,no,no,2 The Committee-Man Curried,,DI,,Political DI,,1647,1647,1647,1647,,,,,,
A03201,S104035,A03201_02,,"Heywood, Thomas",,,,,,yes,yes,no,2 The Fair Maid of the West,"2 The Fair Maid of the West, or A Girl Worth Gold",CO,,CO,,1631,1631,1631,1631,Queen Henrietta Maria's Men,,,,,
A20065,S109537,A20065,,"Dekker, Thomas",,,,,,yes,yes,no,2 The Honest Whore,2 The Converted Courtesan,CO,,CO,,1605,1605,1630,1630,Prince Henry's Men,,,,,
A03223,S104049,A03223_02,,"Heywood, Thomas",,,,,,yes,yes,no,2 The Iron Age,,TC,,Classical Legend,,1612,1612,1632,1632,Queen Anne's Men,,,,,
A53060,R17289,A53060_07,,"Cavendish, Margaret",,,,,,yes,no,no,2 The Lady,,ND,,,,1662,,1662,1662,,,,,,
A86630,R7256,A86630_02,,"Howell, James",,,,,,yes,no,no,2 The Nuptials of Peleus and Thetis,The Great Royal Ball,MA,,Translation of French Royal EN,,1654,1654,1654,1654,,,,,,
not in tcp?,S114071,,,Anonymous,,,,,,no,no,yes,"2 The Return from Parnassus, or The Scourge of Simony",The Progress to Parnassus,,,Satirical CO,,1601,1603,1606,,,,,,,
A04520,S106395,A04520_02,,Anonymous,,,,,,yes,yes,no,2 The Troublesome Reign of King John,,HI,,HI,,1591,1591,1591,1611,Queen Elizabeth's Men,,,,,
A47372,R7715,A47372_07,,"Killigrew, Thomas",,,,,,yes,yes,no,2 Thomaso,2 The Wanderer,CO,,,,1654,,1664,1664,,,,,,
A53060,R17289,A53060_09,,"Cavendish, Margaret",,,,,,yes,no,no,2 Wit's Cabal,,ND,,,,1662,,1662,1662,,,,,,
A53060,R17289,A53060_05,,"Cavendish, Margaret",,,,,,yes,no,no,2 Youth's Glory and Death's Banquet,,ND,,,,1662,,1662,1662,,,,,,
A11954,S111228,A11954_22,,"Shakespeare, William",,,,,,yes,yes,no,3 Henry VI,The True Tragedy of Richard Duke of York and the Good King Henry the Sixth,HI,,HI,,1591,1591,1595,1623,Pembroke's Men,,,,,
A78213,R206169,,,Anonymous,,,,,,no,no,yes,A Bartholomew Fairing,,,,Political DI,,1649,1649,1649,,,,,,,
A03190,S104032,A03190,,"Heywood, Thomas",,,,,,yes,yes,no,A Challenge for Beauty,,CO,,TC,,1635,1635,1636,1636,King's Men,,,,,
A07493,S121839,A07493,,"Middleton, Thomas",,,,,,yes,yes,no,A Chaste Maid in Cheapside,,CO,,CO,,1613,1613,1630,1630,Lady Elizabeth's Men,,,,,
A19757,S109243,A19757,,"Daborne, Robert",,,,,,yes,yes,no,A Christian Turned Turk,The Two Famous Pirates,TR,,TR,,1609,1610,1612,1612,,,,,,
A07528,S2820,A07528,,"Middleton, Thomas",William Rowley,,,,,yes,yes,no,A Fair Quarrel,,CO,,TC,,1615,1616,1617,1617,Prince Charles's Men (first),,,,,
A07024,S112201,A07024,,"Marmion, Shakerly",,,,,,yes,yes,no,A Fine Companion,,CO,,CO,,1633,1633,1633,1633,Prince Charles's Men (second),,,,,
A07498,S106481,A07498,,"Middleton, Thomas",,,,,,yes,yes,no,A Game at Chess,,TC,,Political Satire,,1624,1624,1625,1625,King's Men,,,,,
A29637,R6854,A29637,,"Brome, Richard",,,,,,yes,yes,no,"A Jovial Crew, or The Merry Beggars",,CO,,CO,,1641,1641,1652,1652,Beeston's Boys,,,,,
A06207,S101159,A06207,,"Beaumont, Francis","Fletcher, John",,,,,yes,yes,no,A King and No King,,TC,,TC,,1611,1611,1619,1619,King's Men,,,,,
A04888,S108088,A04888,930,Anonymous,,,,,,yes,yes,no,A Knack to Know a Knave,Performed+Printed: A Knack to Know a Knave / Contemporary: A Merry Knack to Know a Knave; The Knack,CO,moral,CO,work; CO,1592,1592,1594,1594,Lord Strange's (Derby's) Men,,the Rose,pentameter and prose,no,
A04889,S108089,,969,Anonymous,,,,,,no,no,yes,A Knack to Know an Honest Man,Performed+Printed: A Knack to Know an Honest Man / Contemporary: The Knack to Know an Honest Man; The Knack,,CO,TC,HI; CO,1594,1594,1596,,Admiral's (Nottingham's) Men,,the Rose,pentameter and prose,no,
A06270,S122090,A06270,1191,Anonymous,,,,,,yes,yes,no,"A Larum for London, or The Siege of Antwerp","Printed: A Larum for London, or the Siege of Antwerp / Contemporary: The Alarum to London / Later assigned: An Alarum for London / Alternative modernizations: Alarum for London; A 'Larum for London",HI,HI,HI,,1602,1599,1602,1602,Lord Chamberlain's (Hunsdon's) Men,,"either the Theatre, the Curtain, or the Globe",pentameter and prose,no,
A06185,S109578,,829,"Lodge, Thomas","Greene, Robert",,,,,no,no,yes,A Looking Glass for London and England,Performed(?)+Printed: A Looking-Glass for London and England / Contemporary: The Looking Glass for London; The Looking-Glass,,biblical moral,Biblical Moral,,1588,1588,1594,,Derby's (Strange's) Men,,,pentameter and prose,no,
A77565,R202038,A77565_01,,"Brome, Richard",,,,,,yes,yes,no,A Mad Couple Well Matched,,CO,,CO,,1632,1639,1653,1653,Beeston's Boys,,,,,
A07504,S112578,A07504,,"Middleton, Thomas",,,,,,yes,yes,no,"A Mad World, My Masters",,CO,,CO,,1604,1605,1608,1608,Children of Paul's (second),Queen Henrietta Maria's Men,,,,
A03240,S104069,A03240,,"Heywood, Thomas",,,,,,yes,yes,no,A Maidenhead Well Lost,,CO,,CO,,1633,1633,1634,1634,Queen Henrietta Maria's Men,,,,,
A33611,R20860,play in collection,,"Cokayne, Aston",,,,,,no,no,yes,A Masque at Bretbie,,,,MA,,1640,1640,[1658],,,,,,,
A11151,S116268,A11151,,"Rowley, William",,,,,,yes,yes,no,A Match at Midnight,,CO,,CO,,1622,1622,1633,1633,Red Bull (Revels) Company (first),Children of the Queen's Revels,,,,
