filenumber,creation date,author,title
SHC-A00456,1575,"Bower, Richard",Appius and Virginia
SHC-A00723,1618,"Field, Nathan",Amends for Ladies 
SHC-A00725,1612,"Field, Nathan",A Woman Is a Weathercock 
SHC-A00760,1633,"Fisher, Jasper",Fuimus Troes (The True Trojans) 
SHC-A00959,1617,"Fletcher, John; Massinger, Philip","The Bloody Brother (Rollo, Duke of Normandy)"
SHC-A00960,1625,"Fletcher, John; Massinger, Philip",The Elder Brother 
SHC-A00962,1608,"Fletcher, John",The Faithful Shepherdess 
SHC-A00966,1611,"Fletcher, John; Shirley, James","The Night Walker, or The Little Thief "
SHC-A00967,1624,"Fletcher, John",Rule a Wife and Have a Wife 
SHC-A00968,1617,"Beaumont, Francis; Fletcher, John; Massinger, Philip",Thierry and Theodoret 
SHC-A00979,1631,"Fletcher, Phineas",Sicelides 
SHC-A01046,1630,"Ford, John",The Broken Heart 
SHC-A01047,1633,"Ford, John",Perkin Warbeck 
SHC-A01049,1635,"Ford, John",The Fancies Chaste and Noble 
SHC-A01052,1638,"Ford, John",The Lady's Trial 
SHC-A01055,1628,"Ford, John",The Lover's Melancholy 
SHC-A01056,1632,"Ford, John",Love's Sacrifice 
SHC-A01057,1631,"Ford, John",'Tis Pity She's a Whore 
SHC-A01253,1639,"Freeman, Ralph",Imperiale 
SHC-A01353,1568,"Fulwell, Ulpian",Like Will to Like 
SHC-A01425,1630,anon.,"Wine, Beer, and Ale Together by the Ears"
SHC-A01500,1594,"Garnier, Robert",Cornelia
SHC-A01502,1590,"Garnier, Robert",Antonius
SHC-A01506,1578,B. G. (?),The Entertainment at Norwich 
SHC-A01509,1578,"Garter, Thomas",The Most Virtuous and Godly Susanna 
SHC-A01513_01,1566,"Gascoigne, George",Supposes
SHC-A01513_02,1566,"Gascoigne, George",Jocasta
SHC-A01520,1575,"Gascoigne, George",The Glass of Government 
SHC-A01772,1639,"Glapthorne, Henry",Argalus and Parthenia 
SHC-A01773,1640,"Glapthorne, Henry",The Hollander
SHC-A01775,1640,"Glapthorne, Henry",The Ladies' Privilege 
SHC-A01777,1639,"Glapthorne, Henry",Albertus Wallenstein 
SHC-A01779,1640,"Glapthorne, Henry",Wit in a Constable 
SHC-A01840,1617,"Goffe, Thomas",Orestes 
SHC-A01853,1628,"Gomersall, Robert",Lodovick Sforza 
SHC-A01911,1602,"Chapman, George",Sir Giles Goosecap 
SHC-A01989,1640,"Gough, John",The Strange Discovery
SHC-A02070,1591,"Greene, Robert","George a Green, the Pinner of Wakefield "
SHC-A02091,1587,"Greene, Robert","Alphonsus, King of Aragon "
SHC-A02125,1591,"Greene, Robert",Orlando Furioso 
SHC-A02128,1589,"Greene, Robert",Friar Bacon and Friar Bongay 
SHC-A02168,1590,"Greene, Robert",The Scottish History of James the Fourth 
SHC-A02226_04,1600,"Greville, Fulke",Alaham
SHC-A02227,1596,"Greville, Fulke",Mustapha
SHC-A02262,1640,"Grotius, Hugo",Christ's Passion
SHC-A02455,1640,"Habington, William",The Queen of Aragon
SHC-A02629,1640,"Harding, Samuel",Sicily and Naples
SHC-A02732,1604,"Dekker, Thomas; Webster, John; Harrison, Stephen",Arches of Triumph
SHC-A02800,1595,"Haughton, William",Englishmen for my Money
SHC-A02827,1627,"Hawkins, William",Apollo Shroving 
SHC-A03189,1611,"Heywood, Thomas",The Brazen Age 
SHC-A03190,1635,"Heywood, Thomas",A Challenge for Beauty 
SHC-A03195,1627,"Heywood, Thomas",The English Traveller 
SHC-A03197,1602,"Heywood, Thomas",The Fair Maid of the Exchange 
SHC-A03201_01,1631,"Heywood, Thomas",1 The Fair Maid of the West
SHC-A03201_02,1631,"Heywood, Thomas",2 The Fair Maid of the West
SHC-A03202,1594,"Heywood, Thomas",The Four Prentices of London 
SHC-A03205,1610,"Heywood, Thomas","The Golden Age, or The Lives of Jupiter and Saturn"
SHC-A03208,1604,"Heywood, Thomas","1 If You Know Not Me You Know Nobody, or The Troubles of Queen Elizabeth"
SHC-A03217,1605,"Heywood, Thomas",2 If You Know Not Me You Know Nobody (The Second Part of Queen Elizabeth's Troubles)
SHC-A03223_01,1612,"Heywood, Thomas",1 The Iron Age
