tcp,speaker,count
A27177_01,boy,61
A27177_19,Dau._1. ,26
A02262,joseph,418
A08009,solstitium,225
A04874,all,58
A04632_01,downright,138
A49479,fernando,194
A16924,vexham,68
A50090,lady,1247
A10402,2_scholar,270
A19812_03,attarus,34
A00962,perigot,2330
A12155,beauford,4079
A09228,nathan,522
A29635,ambrose,429
A07493,all,2188
A04632_08,kastril,453
A27177_04,gentlewoman_1,28
A07025,unassigned,77
A13613_02,chremes,575
A03223_01,castor,15
A77567_02,garula,1426
A09857,philip,4120
A06252,tapster,23
A07326,servant,21
A06991,ithamore,1750
A15515,priest,114
A07332,poppaea,752
A53060_05,comfort,95
A06622,stellio,42
A07024,aurelio,1852
A20088,malevento,1136
A07004_02,theridamas,1214
A04539,unassigned,215
A04824,captain,157
A05206,king,6450
A07979,bonardo,193
A07524,mrs_gallipotull,3
A19976,julio,31
A15517,unassigned,68
A04658,hodge,13
A01840,aegisthus,248
A07240,astutio,752
A12548,young_fitzwater,1533
A31675,mentz,715
A07907,locrine,46
A27177_23,valetta,1362
A03405,lyon,192
A27203,oriana,1260
A06343,galatea,124
A02070,jenkin,676
A03217,1_prentice,15
A27177_20,tibalt,2560
A50793,glover,198
A17968,francisco,2
A14875,pedro,18
A13062,jack,700
A27177_01,page,36
A06982,pheroas,1275
A27177_21,master,542
A07251,sailor,14
A62477,1_lord,263
A01055,eroclea,1251
A02827,musaeus,378
A27177_16,huntsman,6
A03223_02,cethus,1932
A15814,turqual,22
A11146,1_priest,133
A02128,post,123
A13840,unassigned,19
A02262,chorus_jewish_women,1147
A07978,uncle,336
A03256,cranwell,280
A19183,hugh,39
A04941,captain,10
A27177_22,peasant_1,19
A07978,cicely,1208
A14715,christian,414
A04941,vollupo,19
A01509,susanna,772
A27177_30,gregory,1963
A15549,cricket,1199
A00967,leon,3274
A27177_08,servant,198
A11909_10,deianira,3693
A15814,tarq,33
A02128,lacy,1182
A41993,comedy,606
A19183,iust,1001
A04632_09,vargunteius,107
A07251,rochfort,2379
A17460,raymond,2586
