tcp,speaker,count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B07101,philosopher,546,opinion,408,tailor,168,novelty,150,irene,130,genius,118,diche,97,eunomia,94,confidence,93,chorus,71,amphiluche,53,projector,41,unassigned,35,jollity,33,blackguard,33,ambassador,27,feather-maker,26,admiration,21,painter,20,carpenter,16,both,12,antimasker,5,guard_2,5,guard_1,3,omnes,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A93178,francischina,2323,angelina,2257,piperollo,1936,contarini,1129,parma,1040,antonio,735,lucio,595,farnese,500,vergerio,494,longino,451,giovanni,413,stephanio,277,fabio,208,strozzo,186,xxxx_1,148,frapolo,108,unassigned,83,xxxx_4,79,morulla,75,omnes,71,rangino,68,scholar,68,xxxx_3,58,lady,32,servant,29,xxxx_2,20,paulina,9,castruchio,3,both,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A93170,ferdinand,3658,captain,3465,queen,2351,rosania,1724,leandro,1492,leonario,1440,ernesto,717,ancient,626,rodriguez,454,lieutenant,342,alfonso,295,citizen_1,246,citizen_2,219,violinda,211,unassigned,72,yyyy_1,71,servant,54,courtier,46,both,44,keeper,34,guardian,32,yyyy_2,23,omnes,19,lords,8,ambo,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A93167,duchess,3308,cardinal,2648,hernando,2176,secretary,1354,colonel,929,king,846,columbo,640,alvarez,618,celinda,605,lord_1,421,valeria,338,xxxx_2,305,placentia,296,xxxx_1,239,lord_2,213,epilogue,197,alphonso,187,yyyy_1,119,antonelli,108,xxxx_5,94,xxxx_4,90,yyyy_2,64,gentleman,50,xxxx_3,44,servant,42,captain_2,37,captain_1,17,surgeon,12,omnes,8,ladies,6,multiple,6,lords,5,laddy,5,soldier,4,unassigned,3,lord,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A93166,fernando,3951,carlos,2618,luys,1757,francisco,1539,ramires,1192,luigi,1163,felisarda,1059,jacinta,1048,pedro,815,alberto,631,estifania,480,alsimira,243,unassigned,215,teodoro,149,servant,127,confessor,100,notary,88,estefania,71,don,70,physician,54,gentleman,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A85334_02,amurath,2886,cobelitz,1733,schahin,1597,ambassador,1573,aladin,787,eurenoses,629,bajazet,492,eumorphe,439,lazarus,420,jacyl,355,alexander,342,fame,339,wife,276,bassa,251,hatun,214,cupid,167,jupiter,163,multiple,152,sasmenos,136,juno,124,chase_illibegge,105,all,101,menthe,94,sesmenos,82,lala,76,xxxx_2,70,yyyy_1,50,philoxenus,46,unassigned,45,yyyy_2,38,chorus,31,ambo,28,3_fiend,25,4_fiend,25,2_fiend,24,1_fiend,23,servant,12,xxxx_1,8,soldier,7,nobles,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A85334_01,bajazet,6828,selimus,2977,isaac,2936,cherseoli,2041,achmetes,1558,solymon,1485,corcutus,1383,achomates,946,zemes,756,mesithes,681,caigubus,556,nemesis,527,bishop,464,soldier,427,mustaffa,391,messenger,266,mahomates,231,asmehcmedes,132,janissary_3,114,herald,110,trizham,109,armenia,108,followers,73,omnes,47,hamon,44,tartary,44,soldiers,42,janissary_1,41,janissary_2,40,dwarf,40,soldier_4,35,soldier_1,34,bassas,30,within,12,soldier_2,12,A85334_01-janissary_6,10,incomplete,9,janissary_4,8,all,7,soldier_3,7,monk,4,filii,4,ambo,4,janissary_5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77567_05,eulalia,4670,horatio,3414,king,3412,alinda,2737,andrea,2010,sforza,1775,petruchio,1744,lodovico,1719,lollio,1378,poggio,1216,curate,825,flavello,797,pedro,748,gonzago,407,alphonso,401,countryman,384,keeper,266,captain,175,fabio,125,rugio,124,xxxx_2,122,servant,118,yyyy_1,118,xxxx_1,91,prince,89,yyyy_2,81,omnes,75,strozzo,64,doctor,49,jago,40,crier,39,guard,24,all,24,multiple,19,soldiers,19,yyyy_3,11,ambo,10,soldier,8,xxxx_3,8,UNASSIGNED,7,both,5,unassigned,3,queen,3,lodovic,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77567_04,matchil,4096,lafoy,2809,strigood,2515,valentine,2251,nehemiah,1877,cash,1518,rachel,1503,erasmus,1205,camelion,1197,hannah,1177,whimbly,988,joyce,689,ephraim,660,gallant,632,gabriella,453,hardyman,398,blithe,345,papillion,287,unassigned,115,multiple,57,servant,49,matcvhil,41,post,27,frances,18,lady,13,omnes,8,philip,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A77567_03,crossewill,4798,nick,2484,mihill,2042,mihil,1683,clotpoll,1680,gabriel,1604,cockbrain,1506,kate,1096,madge,932,captain,763,anthony,736,rooksbill,736,lucy,534,belt,460,drawer,344,damaris,307,dorcas,302,shoemaker,259,francisca,187,laundress,151,vintner,136,betty,121,tailor,118,citizen,115,pig,91,multiple,59,boy,54,all,37,rafe,30,unassigned,17,mich,10,parson,7,women,6,both,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
