tcp,speaker,count
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
B07101,philosopher,546
