tcp,speaker,count,estc,playfile,Wiggins number,author,author 2,author 3,author 4,author 5,translator,in 704 corpus,in 554 corpus,missing from both,title,alternative title,genre,Wiggins genre,DEEP genre,Wiggins contemporary genre,date of writing,date of 1st performance,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes
A00456,virginius,1541,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,haphazard,1539,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,appius,1316,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,mansipulus,564,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,virginia,560,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,mansipula,449,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,mater,278,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,all,235,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,subservus,163,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,rumour,154,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,conscience,142,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,claudius,108,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A00456,justice,74,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
